recordid,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,customer_id
1,HI,101,510,false,false,0,70.9,123,12.05,211.9,73,18.01,236,73,10.62,10.6,3,2.86,3,false,23383607
2,MT,137,510,false,false,0,223.6,86,38.01,244.8,139,20.81,94.2,81,4.24,9.5,7,2.57,0,false,22550362
3,OH,103,408,false,true,29,294.7,95,50.1,237.3,105,20.17,300.3,127,13.51,13.7,6,3.7,1,false,59063354
4,NM,99,415,false,false,0,216.8,123,36.86,126.4,88,10.74,220.6,82,9.93,15.7,2,4.24,1,false,25464504
5,SC,108,415,false,false,0,197.4,78,33.56,124,101,10.54,204.5,107,9.2,7.7,4,2.08,2,false,691824
6,IA,117,415,false,false,0,226.5,85,38.51,141.6,68,12.04,223,90,10.04,6.9,5,1.86,1,false,24456543
7,ND,63,415,false,true,32,218.9,124,37.21,214.3,125,18.22,260.3,120,11.71,12.9,3,3.48,1,false,29694916
8,LA,94,408,false,false,0,157.5,97,26.78,224.5,112,19.08,310.8,106,13.99,11.1,6,3,0,false,69020915
9,MO,138,510,false,false,0,89.1,117,15.15,126.8,46,10.78,190.5,71,8.57,9.9,4,2.67,2,false,22612071
10,TX,128,415,false,true,43,177.8,100,30.23,147.3,89,12.52,194.2,92,8.74,11.9,1,3.21,0,false,12721031
11,AR,113,510,false,true,39,209.8,77,35.67,164.1,90,13.95,159.7,100,7.19,9,4,2.43,1,false,41876970
12,TX,140,415,false,false,0,93.2,109,15.84,197.6,116,16.8,219.8,94,9.89,10.5,2,2.84,1,false,29022514
13,ME,102,415,false,false,0,228.1,86,38.78,156,97,13.26,227.9,124,10.26,10.6,9,2.86,1,false,21477385
14,ND,108,415,false,false,0,112.6,86,19.14,114.9,101,9.77,177.8,119,8,7.2,6,1.94,3,false,38362620
15,DE,60,408,false,false,0,207.3,77,35.24,207.9,105,17.67,108.2,89,4.87,12.9,5,3.48,1,false,4476719
16,MN,96,408,false,false,0,208.1,93,35.38,189.2,107,16.08,279.6,90,12.58,7.4,2,2,1,false,59580324
17,KS,178,415,false,true,22,112.8,66,19.18,232.6,100,19.77,194.8,119,8.77,14.3,3,3.86,1,false,29066792
18,MN,75,415,false,false,0,225.3,124,38.3,228,81,19.38,254.3,106,11.44,11.7,3,3.16,1,false,308998301
19,NC,106,415,false,true,25,169.4,105,28.8,240.5,108,20.44,159.4,114,7.17,13.9,5,3.75,4,false,31674732
20,HI,158,510,false,false,0,193.3,121,32.86,208.1,97,17.69,228.1,99,10.26,7.1,9,1.92,1,false,27180025
21,NV,111,415,false,true,35,161.2,142,27.4,159.1,104,13.52,167.9,98,7.56,14.7,5,3.97,1,false,22430953
22,CO,102,510,false,false,0,95.6,88,16.25,167.6,106,14.25,177.3,95,7.98,9.8,2,2.65,3,false,40695116
23,TN,92,510,false,true,25,79.8,99,13.57,313.6,120,26.66,135.5,104,6.1,9.3,8,2.51,2,false,25548363
24,DE,42,415,false,true,31,170.8,101,29.04,233.4,104,19.84,174.2,121,7.84,11,3,2.97,2,false,624320
25,OH,69,415,false,false,0,229.2,111,38.96,165.3,104,14.05,235.1,80,10.58,5.2,5,1.4,1,false,25395633
26,OR,117,415,false,true,38,259.3,94,44.08,245.6,71,20.88,269.3,125,12.12,9.2,1,2.48,3,false,306925694
27,NE,76,415,false,true,41,212.6,110,36.14,172.7,97,14.68,186.3,78,8.38,10.1,5,2.73,0,false,79746376
28,ID,72,415,true,false,0,101,110,17.17,240,70,20.4,333.5,105,15.01,11.1,6,3,0,false,27729458
29,WY,115,415,true,true,6,140.1,125,23.82,157.9,100,13.42,249.4,96,11.22,10.1,3,2.73,1,false,20529
30,MD,68,408,false,false,0,150.4,106,25.57,199,131,16.92,109.7,103,4.94,12.3,3,3.32,3,false,50720911
31,WY,60,510,true,true,37,189.9,125,32.28,110.4,107,9.38,210.7,115,9.48,9.1,5,2.46,3,false,22960793
32,AZ,97,415,false,false,0,100.8,74,17.14,233.8,88,19.87,208.7,79,9.39,12.6,3,3.4,2,false,53227401
33,IA,92,415,false,false,0,138.1,131,23.48,175.7,128,14.93,192.7,119,8.67,10,3,2.7,3,false,56836901
34,VT,178,510,false,false,0,179.7,112,30.55,276.6,91,23.51,169.7,101,7.64,10.1,7,2.73,3,false,52586328
35,KS,90,415,false,true,30,191.3,104,32.52,257.1,109,21.85,177.7,89,8,11,1,2.97,1,false,13517693
36,MS,72,510,false,false,0,168.3,76,28.61,212.4,126,18.05,200.2,132,9.01,12,3,3.24,2,false,56178460
37,CA,73,415,false,false,0,137.6,113,23.39,179.7,75,15.27,172.8,71,7.78,10.7,2,2.89,1,true,24882292
38,OH,54,415,false,false,0,255.4,122,43.42,22.3,87,1.9,152.6,72,6.87,11.1,6,3,0,false,30343685
39,NE,161,415,false,false,0,166.2,125,28.25,279.4,78,23.75,181,85,8.15,13.4,6,3.62,1,false,22031413
40,CA,125,510,true,false,0,158.7,112,26.98,155.7,126,13.23,246,110,11.07,8.3,1,2.24,2,true,27984533
41,OR,194,415,false,false,0,258.3,76,43.91,306,88,26.01,241.8,106,10.88,13.6,4,3.67,1,true,36390219
42,MT,69,510,false,true,40,77,106,13.09,161.7,94,13.74,188.6,82,8.49,12.5,6,3.38,1,false,25262015
43,WI,141,415,false,true,33,168.4,127,28.63,185.1,106,15.73,220,78,9.9,11,4,2.97,2,false,25339474
44,SD,98,415,false,false,0,307.2,65,52.22,138.6,97,11.78,381.6,99,17.17,10.2,4,2.75,2,true,29030632
45,OH,110,510,false,false,0,175.6,91,29.85,236.5,127,20.1,194.9,114,8.77,9.5,8,2.57,0,false,69924017
46,ME,70,415,false,false,0,169.1,48,28.75,219.8,62,18.68,193.5,105,8.71,10.7,8,2.89,3,false,8063695
47,NM,72,415,false,false,0,190.7,111,32.42,241.6,103,20.54,278.1,95,12.51,4.4,3,1.19,1,false,32260697
48,WV,66,415,false,false,0,239.6,120,40.73,230.3,110,19.58,153,82,6.89,8.6,3,2.32,1,false,51987113
49,MN,79,510,false,false,0,121.3,112,20.62,282.8,107,24.04,123.1,83,5.54,7.4,4,2,1,false,22868814
50,MI,61,408,false,false,0,208.4,102,35.43,326.1,96,27.72,201.9,73,9.09,10.1,8,2.73,1,true,33890245
51,CO,97,510,true,false,0,230.6,131,39.2,261.3,136,22.21,157.1,96,7.07,6.8,4,1.84,0,false,5044516
52,HI,63,415,false,false,0,112.5,95,19.13,211.2,67,17.95,227.5,96,10.24,11.1,8,3,0,false,25279563
53,VT,77,408,false,true,36,172.2,88,29.27,161.6,112,13.74,259.7,115,11.69,11.8,4,3.19,2,false,50749241
54,TX,73,408,false,false,0,195.3,97,33.2,96.8,89,8.23,243.1,84,10.94,16.2,13,4.37,1,false,28833192
55,VT,105,510,false,false,0,167.7,93,28.51,234.1,103,19.9,169.7,121,7.64,6.9,5,1.86,3,false,56525611
56,OR,159,408,false,false,0,180.1,103,30.62,193.4,148,16.44,251.2,109,11.3,13.4,5,3.62,0,false,57311961
57,NM,83,510,false,false,0,129.6,81,22.03,189.7,117,16.12,219,118,9.86,9.8,4,2.65,2,false,28799229
58,SD,93,510,false,false,0,215.5,108,36.64,230.9,70,19.63,144.1,134,6.48,13.2,4,3.56,0,false,52090354
59,MD,106,408,false,true,22,218.6,83,37.16,244.4,70,20.77,132.4,99,5.96,9.1,6,2.46,1,false,304298219
60,UT,98,415,false,false,0,211.9,65,36.02,224.6,95,19.09,233,81,10.49,9.9,3,2.67,2,false,59615831
61,NJ,163,415,false,false,0,82,95,13.94,125.2,103,10.64,171.3,107,7.71,8,4,2.16,1,false,22783955
62,MA,169,408,false,true,22,149.1,103,25.35,207.2,91,17.61,265.4,92,11.94,11.4,7,3.08,2,false,37644754
63,NV,111,415,false,false,0,304.6,56,51.78,157.6,101,13.4,188.2,116,8.47,12.4,1,3.35,1,true,23097868
64,TN,163,510,false,false,0,277.7,118,47.21,115.3,91,9.8,170.3,90,7.66,10.4,8,2.81,0,false,360966
65,ME,57,510,false,false,0,155.2,99,26.38,214.1,98,18.2,241,64,10.85,7.5,7,2.03,1,false,54590682
66,AL,117,415,false,false,0,198.5,75,33.75,179.8,92,15.28,234.1,119,10.53,10.6,6,2.86,0,false,37582376
67,LA,85,408,false,false,0,209.1,57,35.55,110.7,111,9.41,113.3,113,5.1,12.8,4,3.46,1,false,28737880
68,AL,132,415,false,false,0,200,104,34,149.6,101,12.72,137.1,110,6.17,18.9,2,5.1,1,false,40724429
69,FL,190,415,false,false,0,196.1,95,33.34,228.3,88,19.41,243.6,95,10.96,7.6,3,2.05,3,false,54860267
70,FL,39,510,false,false,0,121.6,99,20.67,267.6,99,22.75,99.7,88,4.49,7.1,2,1.92,1,false,65336364
71,SC,84,415,false,false,0,204.1,132,34.7,164.4,117,13.97,165.1,123,7.43,0,0,0,1,false,37599461
72,ID,71,415,false,false,0,212.1,114,36.06,235.9,91,20.05,207.7,135,9.35,11.3,5,3.05,4,false,23092778
73,WY,114,415,false,false,0,178.3,86,30.31,176.5,99,15,187.1,83,8.42,13.8,2,3.73,1,false,31491459
74,NE,135,415,false,false,0,181.8,92,30.91,159.6,63,13.57,232.4,78,10.46,7,6,1.89,0,false,55340178
75,CO,93,415,false,false,0,120.6,104,20.5,205.5,95,17.47,182.5,107,8.21,9.6,6,2.59,2,false,24150286
76,VA,82,415,false,false,0,172.4,112,29.31,131.7,89,11.19,182.8,78,8.23,8.8,9,2.38,1,false,17300377
77,WV,64,415,false,false,0,160.6,110,27.3,171.9,97,14.61,105.2,56,4.73,7.3,2,1.97,0,true,31746589
78,AZ,76,408,false,true,12,98.4,100,16.73,187.5,119,15.94,177,68,7.97,15.1,3,4.08,1,false,5632443
79,KS,112,415,false,false,0,109,126,18.53,212.7,106,18.08,208.3,92,9.37,7.9,3,2.13,1,false,38336467
80,NJ,113,408,true,false,0,122.4,98,20.81,223.8,116,19.02,267.5,148,12.04,11.6,5,3.13,3,false,32970766
81,SD,137,415,false,false,0,144.5,119,24.57,167.3,89,14.22,175.1,76,7.88,6.1,4,1.65,5,true,22704407
82,ND,128,408,false,false,0,102.5,87,17.43,177.2,97,15.06,226,119,10.17,8.7,5,2.35,1,false,6793244
83,SC,84,415,false,false,0,274.1,119,46.6,144.1,123,12.25,268.2,100,12.07,9.9,5,2.67,2,false,56815251
84,ID,140,510,false,false,0,193.1,82,32.83,260.3,107,22.13,241.3,93,10.86,13.3,5,3.59,2,false,59757948
85,TX,106,415,false,false,0,182.8,96,31.08,193.7,93,16.46,219.5,113,9.88,7.7,2,2.08,2,false,50465210
86,SD,166,510,false,true,32,148.4,86,25.23,170.6,119,14.5,201.5,124,9.07,11.3,12,3.05,1,false,32034357
87,TN,137,408,false,false,0,75.8,107,12.89,256.9,98,21.84,204.4,118,9.2,10.5,3,2.84,2,false,13938840
88,TN,161,415,false,false,0,198,90,33.66,186.4,102,15.84,219.2,90,9.86,9.3,2,2.51,1,false,53531745
89,DE,120,415,false,false,0,253.2,95,43.04,210.8,86,17.92,253.9,81,11.43,9.5,4,2.57,5,true,36106771
90,TN,187,510,false,true,25,199.9,64,33.98,134.6,110,11.44,210.4,78,9.47,11.7,6,3.16,3,false,25335977
91,OR,102,415,false,true,25,187.5,105,31.88,272.3,88,23.15,216.4,91,9.74,11.7,2,3.16,2,false,24358202
92,IA,82,408,false,false,0,183.6,111,31.21,303.5,88,25.8,189.8,115,8.54,10.3,6,2.78,0,false,50670074
93,MI,100,510,false,true,21,86.1,95,14.64,189.9,126,16.14,201.3,113,9.06,11.7,4,3.16,0,false,57089344
94,AR,45,408,false,false,0,126.8,83,21.56,157.8,100,13.41,158.3,97,7.12,11,4,2.97,3,false,37665288
95,TN,114,415,false,false,0,108.3,95,18.41,168.3,104,14.31,153.1,109,6.89,9.1,2,2.46,1,false,17242736
96,WV,43,408,true,false,0,160.5,92,27.29,235.8,121,20.04,111.8,95,5.03,13.8,5,3.73,1,true,56533672
97,IL,103,408,false,false,0,147.3,81,25.04,158.4,88,13.46,193.8,103,8.72,11,3,2.97,2,false,317757862
98,DE,57,510,false,false,0,165.1,91,28.07,240.8,56,20.47,277,100,12.47,9.5,3,2.57,2,false,32332090
99,NC,52,408,false,true,31,122.2,88,20.77,139,100,11.82,141.9,141,6.39,5.7,10,1.54,3,false,28076479666
100,IA,74,408,false,false,0,156.3,102,26.57,273.1,118,23.21,215.8,113,9.71,9,4,2.43,3,false,309072858
101,AL,74,408,false,true,46,277.7,109,47.21,270,114,22.95,165.3,82,7.44,10.4,2,2.81,1,false,31486442
102,HI,40,415,true,true,21,147.4,117,25.06,262.8,110,22.34,202,97,9.09,10.9,5,2.94,0,false,40192452
103,PA,83,415,false,false,0,228.4,113,38.83,163.3,103,13.88,248,114,11.16,7.8,6,2.11,1,false,10901270
104,RI,102,510,false,false,0,184.6,133,31.38,166.8,94,14.18,225.2,105,10.13,6.8,8,1.84,1,false,28545507
105,LA,92,510,false,false,0,87.6,89,14.89,172.3,133,14.65,153.4,88,6.9,8,4,2.16,1,false,57718637
106,DC,79,408,false,true,25,219,95,37.23,241.9,95,20.56,203.4,102,9.15,5.6,5,1.51,4,false,51997773
107,TN,110,510,false,false,0,220.9,100,37.55,279.6,76,23.77,239.8,107,10.79,13.5,9,3.65,1,true,57930729
108,AL,69,408,false,true,27,188.4,104,32.03,320.6,128,27.25,161.7,120,7.28,9.7,7,2.62,1,false,309959047
109,IN,56,510,false,false,0,254.8,83,43.32,194,98,16.49,186.2,118,8.38,13.5,2,3.65,4,false,58261405
110,UT,133,510,false,false,0,338.4,86,57.53,234.6,97,19.94,264.8,139,11.92,14.8,4,4,3,true,37675873
111,FL,119,415,false,true,37,168.2,81,28.59,283.3,105,24.08,243.8,136,10.97,10.7,3,2.89,1,false,507331694
112,VA,131,415,false,false,0,143.1,114,24.33,138.1,119,11.74,199.4,100,8.97,8.9,3,2.4,3,false,29075363
113,CT,60,415,false,true,20,118.3,113,20.11,253.8,97,21.57,172.8,78,7.78,9.4,4,2.54,1,false,33509175
114,NC,118,415,false,false,0,256.5,115,43.61,135.3,79,11.5,208.3,131,9.37,7.5,5,2.03,0,false,54267661
115,PA,92,510,false,false,0,185.9,111,31.6,216.8,93,18.43,231,58,10.4,8.5,2,2.3,1,false,33406182
116,MI,52,510,false,false,0,219,100,37.23,148.9,110,12.66,151.8,129,6.83,11.9,8,3.21,3,false,13902978
117,NC,135,510,false,true,18,180.1,90,30.62,152.5,65,12.96,258.2,85,11.62,12.7,9,3.43,1,false,56426661
118,GA,107,408,false,false,0,114.9,119,19.53,239.7,91,20.37,165.3,112,7.44,12.6,5,3.4,2,false,58307422
119,PA,110,510,false,false,0,158.6,97,26.96,204.4,123,17.37,182.5,123,8.21,11.3,3,3.05,2,false,38345369
120,DE,109,415,true,true,36,244.2,147,41.51,199.7,65,16.97,144.4,109,6.5,15.4,3,4.16,2,true,29328440
121,NY,90,415,false,false,0,180,58,30.6,229.4,88,19.5,162.2,110,7.3,13.2,9,3.56,1,false,6968291
122,MA,117,408,false,false,0,240.2,110,40.83,187.9,65,15.97,152.7,102,6.87,7,19,1.89,3,false,22828495
123,MT,57,415,false,false,0,234.4,120,39.85,155.3,120,13.2,130.5,103,5.87,9.4,4,2.54,1,false,58039900
124,NE,115,415,false,false,0,135.4,104,23.02,138.8,91,11.8,208.5,92,9.38,5.4,3,1.46,1,false,57695173
125,ME,73,408,false,false,0,272.4,112,46.31,252.2,91,21.44,255.4,112,11.49,10.9,5,2.94,1,true,34184093
126,NJ,127,510,false,false,0,262.9,95,44.69,175.9,126,14.95,202.1,101,9.09,7.5,5,2.03,1,false,32779480
127,DE,79,415,false,false,0,66.7,124,11.34,204,91,17.34,254.7,110,11.46,15.1,2,4.08,1,false,64764665
128,VT,33,408,false,true,33,221.4,110,37.64,276.1,86,23.47,222.9,102,10.03,10.1,4,2.73,1,false,13179601
129,NC,110,415,true,false,0,135.1,99,22.97,227.3,123,19.32,176,110,7.92,13.2,4,3.56,1,true,31468473
130,CT,133,408,false,false,0,240.8,72,40.94,202.7,62,17.23,212.9,76,9.58,7.7,5,2.08,1,false,14346852
131,NH,145,415,false,false,0,170.5,101,28.99,206.5,112,17.55,194.3,106,8.74,9.8,1,2.65,3,false,38309977
132,KY,47,415,false,true,40,158.3,90,26.91,213.2,71,18.12,123,132,5.54,14,2,3.78,2,false,29633310
133,CO,53,510,false,true,24,201.7,87,34.29,251.7,97,21.39,297.4,95,13.38,7.9,5,2.13,0,false,55488332
134,NH,148,510,false,false,0,168.8,102,28.7,248.1,125,21.09,250.7,96,11.28,10.6,4,2.86,1,false,29451754
135,MA,72,415,false,false,0,141.9,98,24.12,188.1,63,15.99,115.2,49,5.18,12,5,3.24,2,false,32415267
136,LA,96,510,false,false,0,182.6,75,31.04,188.6,67,16.03,137.7,81,6.2,9.5,3,2.57,5,true,357152
137,WV,113,510,false,true,28,264.4,93,44.95,222.8,79,18.94,213.7,88,9.62,10,4,2.7,1,false,303668099
138,IL,55,415,false,false,0,203.7,80,34.63,230.2,112,19.57,120.3,48,5.41,9.4,1,2.54,3,false,57776197
139,MI,143,415,false,false,0,191.6,53,32.57,104.6,104,8.89,195.8,125,8.81,10.7,9,2.89,3,false,56549124
140,IN,60,415,false,false,0,136.4,147,23.19,219.9,101,18.69,99.7,73,4.49,7,3,1.89,0,false,314570813
141,CO,90,415,false,true,30,168.2,103,28.59,220.9,75,18.78,224.3,105,10.09,8.2,2,2.21,0,false,56380082
142,DC,170,408,false,true,34,125.3,128,21.3,240.6,104,20.45,243.4,109,10.95,7,3,1.89,3,false,57716755
143,TX,65,415,false,false,0,217.9,89,37.04,238.8,101,20.3,194.4,105,8.75,6.6,4,1.78,0,false,22860621
144,IA,93,408,false,false,0,198.1,93,33.68,236.1,95,20.07,127.3,121,5.73,12.6,4,3.4,2,false,33290677
145,UT,117,408,true,true,15,178.8,81,30.4,286.1,85,24.32,229.4,128,10.32,7.1,5,1.92,1,false,24262404
146,AL,96,415,false,true,18,262.9,57,44.69,190.2,107,16.17,293.5,103,13.21,11.8,4,3.19,3,false,22357909
147,CT,101,415,false,false,0,164.6,85,27.98,204.9,72,17.42,136.4,104,6.14,11.5,5,3.11,0,false,5018122
148,NV,60,415,false,false,0,197,130,33.49,219.2,105,18.63,102.8,113,4.63,12.6,4,3.4,1,false,11952652
149,IA,157,510,false,false,0,102.9,94,17.49,229.1,96,19.47,198.7,129,8.94,13.6,2,3.67,1,false,309517738
150,UT,89,408,false,false,0,144.2,74,24.51,164.7,119,14,279.2,121,12.56,12.1,7,3.27,4,true,11437191
151,GA,96,408,false,true,26,126.5,108,21.51,123.8,114,10.52,308.5,98,13.88,13.1,6,3.54,2,false,22790695
152,PA,91,415,false,false,0,139.8,109,23.77,157,91,13.35,218.6,122,9.84,13.6,4,3.67,3,false,24839094
153,VA,104,415,false,false,0,139.7,112,23.75,199.8,127,16.98,189.3,104,8.52,10.3,2,2.78,2,false,57274383
154,SC,40,415,false,false,0,309.4,86,52.6,271.3,98,23.06,197.1,116,8.87,11.2,5,3.02,3,true,34168948
155,WV,161,415,false,false,0,159.6,102,27.13,212.6,119,18.07,151.4,83,6.81,12.6,7,3.4,5,true,10936912
156,KY,131,408,false,true,29,239.7,102,40.75,212.8,109,18.09,187.7,77,8.45,10.5,2,2.84,1,false,57882763
157,KS,131,510,false,false,0,195.6,93,33.25,245,100,20.83,104.7,97,4.71,13.2,6,3.56,2,false,67810671
158,DC,79,510,false,false,0,161.1,110,27.39,170.6,111,14.5,274.4,80,12.35,7.6,2,2.05,2,false,35959436
159,AZ,130,510,false,true,22,173.9,90,29.56,234.8,86,19.96,121.8,79,5.48,8.4,5,2.27,1,false,28703791
160,HI,161,408,false,false,0,165.4,88,28.12,209.7,111,17.82,270.7,129,12.18,10.5,3,2.84,4,false,17401688
161,MS,108,415,false,true,28,221.3,117,37.62,156,102,13.26,159.3,80,7.17,8.7,3,2.35,0,false,28568764
162,WV,69,415,true,false,0,176.8,89,30.06,196,89,16.66,232.6,151,10.47,13.1,5,3.54,1,true,304765399
163,NC,80,408,false,false,0,196,75,33.32,237.8,112,20.21,220.1,127,9.9,13.9,5,3.75,1,false,28706836
164,ME,146,415,false,false,0,174.3,113,29.63,200.7,107,17.06,281.2,145,12.65,11.6,3,3.13,4,false,59065060
165,NJ,143,408,true,false,0,186.9,98,31.77,196.5,110,16.7,215.3,104,9.69,12.3,3,3.32,4,false,34776930
166,WA,114,510,true,false,0,115.6,93,19.65,163.2,78,13.87,251.3,104,11.31,9.7,1,2.62,2,true,53190799
167,WY,113,408,false,false,0,158.4,107,26.93,142.2,104,12.09,174.7,108,7.86,14.9,2,4.02,0,false,55617419
168,ME,29,415,false,true,38,149.4,93,25.4,189.8,96,16.13,127.4,71,5.73,6,3,1.62,1,false,24816571
169,MS,57,415,false,true,36,244.5,94,41.57,161.2,113,13.7,184.3,105,8.29,9.7,3,2.62,1,false,23080005
170,KY,78,415,false,false,0,145.5,124,24.74,143.4,71,12.19,291.1,123,13.1,9.5,5,2.57,3,false,32086340
171,GA,120,510,false,false,0,147.7,101,25.11,144.1,71,12.25,237,115,10.67,11.1,5,3,0,false,25642976
172,AL,97,415,false,false,0,164.3,106,27.93,182.3,97,15.5,183.9,93,8.28,12.1,2,3.27,1,false,5862644
173,IN,185,415,false,false,0,89.4,77,15.2,288.9,128,24.56,162.9,93,7.33,10.4,2,2.81,3,false,69605723
174,AK,144,415,false,true,38,276.3,149,46.97,252,112,21.42,132.5,85,5.96,8.7,3,2.35,1,false,12235594
175,AR,97,510,false,true,32,172.7,79,29.36,217.4,101,18.48,260.7,88,11.73,11.7,5,3.16,1,false,25297417
176,VA,130,415,false,false,0,138.7,68,23.58,205.6,102,17.48,231.2,108,10.4,13.6,3,3.67,2,false,27463199
177,DC,59,415,false,true,26,205.4,68,34.92,115,115,9.78,214.7,130,9.66,9.4,2,2.54,5,false,4609327
178,ID,139,408,false,false,0,187.4,86,31.86,169.3,116,14.39,153.4,88,6.9,11.7,3,3.16,1,false,54133863
179,DE,12,415,false,false,0,206.1,105,35.04,246.6,104,20.96,254.6,83,11.46,12.1,7,3.27,2,false,47858345
180,MN,42,408,false,true,34,131.5,143,22.36,185.3,109,15.75,177.3,117,7.98,10.9,5,2.94,0,false,69685485
181,WY,63,415,false,false,0,120.1,103,20.42,179.2,132,15.23,127.3,82,5.73,6.3,4,1.7,1,false,32849374
182,NY,143,415,false,false,0,168.6,85,28.66,176.3,89,14.99,282.3,69,12.7,13.3,10,3.59,1,false,69044873
183,VA,150,415,false,true,29,235.8,91,40.09,202.8,84,17.24,246.3,81,11.08,11.9,4,3.21,1,false,24853442
184,AR,156,510,false,false,0,189.4,114,32.2,145.7,96,12.38,192.8,121,8.68,4.5,13,1.22,0,false,47555545
185,TX,98,408,false,false,0,158.5,90,26.95,254.4,67,21.62,178.4,104,8.03,14.8,5,4,2,false,24975955
186,DC,17,510,false,true,30,280,101,47.6,258.9,85,22.01,230,130,10.35,10.3,2,2.78,3,false,27227545
187,NY,101,415,false,false,0,229.8,97,39.07,217.8,133,18.51,243.5,53,10.96,8.9,2,2.4,1,false,27384882
